都道府県,開始日,終了日,救急搬送困難事案数
神奈川県,"2020-05-18","2020-05-24",56
新潟県,"2020-05-18","2020-05-24",14
富山県,"2020-05-18","2020-05-24",0
石川県,"2020-05-18","2020-05-24",2
福井県,"2020-05-18","2020-05-24",0
山梨県,"2020-05-18","2020-05-24",3
長野県,"2020-05-18","2020-05-24",0
岐阜県,"2020-05-18","2020-05-24",1
静岡県,"2020-05-18","2020-05-24",2
愛知県,"2020-05-18","2020-05-24",10
三重県,"2020-05-18","2020-05-24",1
滋賀県,"2020-05-18","2020-05-24",0
京都府,"2020-05-18","2020-05-24",9
大阪府,"2020-05-18","2020-05-24",158
兵庫県,"2020-05-18","2020-05-24",28
奈良県,"2020-05-18","2020-05-24",3
和歌山県,"2020-05-18","2020-05-24",1
鳥取県,"2020-05-18","2020-05-24",0
島根県,"2020-05-18","2020-05-24",0
岡山県,"2020-05-18","2020-05-24",1
広島県,"2020-05-18","2020-05-24",17
山口県,"2020-05-18","2020-05-24",2
徳島県,"2020-05-18","2020-05-24",1
香川県,"2020-05-18","2020-05-24",3
愛媛県,"2020-05-18","2020-05-24",0
高知県,"2020-05-18","2020-05-24",3
福岡県,"2020-05-18","2020-05-24",4
佐賀県,"2020-05-18","2020-05-24",1
長崎県,"2020-05-18","2020-05-24",3
熊本県,"2020-05-18","2020-05-24",6
大分県,"2020-05-18","2020-05-24",5
宮崎県,"2020-05-18","2020-05-24",5
鹿児島県,"2020-05-18","2020-05-24",1
沖縄県,"2020-05-18","2020-05-24",0
北海道,"2020-05-25","2020-05-31",42
青森県,"2020-05-25","2020-05-31",1
岩手県,"2020-05-25","2020-05-31",1
宮城県,"2020-05-25","2020-05-31",13
秋田県,"2020-05-25","2020-05-31",0
山形県,"2020-05-25","2020-05-31",2
福島県,"2020-05-25","2020-05-31",5
茨城県,"2020-05-25","2020-05-31",6
栃木県,"2020-05-25","2020-05-31",2
群馬県,"2020-05-25","2020-05-31",0
埼玉県,"2020-05-25","2020-05-31",27
千葉県,"2020-05-25","2020-05-31",50
東京都,"2020-05-25","2020-05-31",449
神奈川県,"2020-05-25","2020-05-31",72
新潟県,"2020-05-25","2020-05-31",14
富山県,"2020-05-25","2020-05-31",0
石川県,"2020-05-25","2020-05-31",1
福井県,"2020-05-25","2020-05-31",0
山梨県,"2020-05-25","2020-05-31",1
長野県,"2020-05-25","2020-05-31",0
岐阜県,"2020-05-25","2020-05-31",0
静岡県,"2020-05-25","2020-05-31",1
愛知県,"2020-05-25","2020-05-31",3
三重県,"2020-05-25","2020-05-31",0
滋賀県,"2020-05-25","2020-05-31",0
京都府,"2020-05-25","2020-05-31",7
大阪府,"2020-05-25","2020-05-31",144
兵庫県,"2020-05-25","2020-05-31",21
奈良県,"2020-05-25","2020-05-31",2
和歌山県,"2020-05-25","2020-05-31",2
鳥取県,"2020-05-25","2020-05-31",0
島根県,"2020-05-25","2020-05-31",0
岡山県,"2020-05-25","2020-05-31",2
広島県,"2020-05-25","2020-05-31",25
山口県,"2020-05-25","2020-05-31",1
徳島県,"2020-05-25","2020-05-31",4
香川県,"2020-05-25","2020-05-31",3
愛媛県,"2020-05-25","2020-05-31",1
高知県,"2020-05-25","2020-05-31",7
福岡県,"2020-05-25","2020-05-31",12
佐賀県,"2020-05-25","2020-05-31",2
