都道府県,開始日,終了日,救急搬送困難事案数
滋賀県,"2021-01-04","2021-01-10",0
京都府,"2021-01-04","2021-01-10",72
大阪府,"2021-01-04","2021-01-10",305
兵庫県,"2021-01-04","2021-01-10",36
奈良県,"2021-01-04","2021-01-10",6
和歌山県,"2021-01-04","2021-01-10",2
鳥取県,"2021-01-04","2021-01-10",1
島根県,"2021-01-04","2021-01-10",0
岡山県,"2021-01-04","2021-01-10",5
広島県,"2021-01-04","2021-01-10",53
山口県,"2021-01-04","2021-01-10",5
徳島県,"2021-01-04","2021-01-10",4
香川県,"2021-01-04","2021-01-10",5
愛媛県,"2021-01-04","2021-01-10",0
高知県,"2021-01-04","2021-01-10",3
福岡県,"2021-01-04","2021-01-10",33
佐賀県,"2021-01-04","2021-01-10",7
長崎県,"2021-01-04","2021-01-10",10
熊本県,"2021-01-04","2021-01-10",17
大分県,"2021-01-04","2021-01-10",14
宮崎県,"2021-01-04","2021-01-10",14
鹿児島県,"2021-01-04","2021-01-10",3
沖縄県,"2021-01-04","2021-01-10",0
北海道,"2021-01-11","2021-01-17",95
青森県,"2021-01-11","2021-01-17",2
岩手県,"2021-01-11","2021-01-17",2
宮城県,"2021-01-11","2021-01-17",46
秋田県,"2021-01-11","2021-01-17",0
山形県,"2021-01-11","2021-01-17",4
福島県,"2021-01-11","2021-01-17",4
茨城県,"2021-01-11","2021-01-17",24
栃木県,"2021-01-11","2021-01-17",35
群馬県,"2021-01-11","2021-01-17",0
埼玉県,"2021-01-11","2021-01-17",107
千葉県,"2021-01-11","2021-01-17",151
東京都,"2021-01-11","2021-01-17",1577
神奈川県,"2021-01-11","2021-01-17",387
新潟県,"2021-01-11","2021-01-17",23
富山県,"2021-01-11","2021-01-17",7
石川県,"2021-01-11","2021-01-17",8
福井県,"2021-01-11","2021-01-17",0
山梨県,"2021-01-11","2021-01-17",13
長野県,"2021-01-11","2021-01-17",3
岐阜県,"2021-01-11","2021-01-17",4
静岡県,"2021-01-11","2021-01-17",14
愛知県,"2021-01-11","2021-01-17",54
三重県,"2021-01-11","2021-01-17",0
滋賀県,"2021-01-11","2021-01-17",0
京都府,"2021-01-11","2021-01-17",105
大阪府,"2021-01-11","2021-01-17",327
兵庫県,"2021-01-11","2021-01-17",77
奈良県,"2021-01-11","2021-01-17",11
和歌山県,"2021-01-11","2021-01-17",3
鳥取県,"2021-01-11","2021-01-17",1
島根県,"2021-01-11","2021-01-17",0
岡山県,"2021-01-11","2021-01-17",14
広島県,"2021-01-11","2021-01-17",57
山口県,"2021-01-11","2021-01-17",4
徳島県,"2021-01-11","2021-01-17",10
香川県,"2021-01-11","2021-01-17",8
愛媛県,"2021-01-11","2021-01-17",2
高知県,"2021-01-11","2021-01-17",9
福岡県,"2021-01-11","2021-01-17",56
佐賀県,"2021-01-11","2021-01-17",6
長崎県,"2021-01-11","2021-01-17",15
熊本県,"2021-01-11","2021-01-17",26
大分県,"2021-01-11","2021-01-17",15
宮崎県,"2021-01-11","2021-01-17",10
鹿児島県,"2021-01-11","2021-01-17",1
沖縄県,"2021-01-11","2021-01-17",0
北海道,"2021-01-18","2021-01-24",107
青森県,"2021-01-18","2021-01-24",0
岩手県,"2021-01-18","2021-01-24",4
宮城県,"2021-01-18","2021-01-24",36
秋田県,"2021-01-18","2021-01-24",0
山形県,"2021-01-18","2021-01-24",13
福島県,"2021-01-18","2021-01-24",2
茨城県,"2021-01-18","2021-01-24",20
栃木県,"2021-01-18","2021-01-24",12
群馬県,"2021-01-18","2021-01-24",0
埼玉県,"2021-01-18","2021-01-24",88
千葉県,"2021-01-18","2021-01-24",91
東京都,"2021-01-18","2021-01-24",1429
神奈川県,"2021-01-18","2021-01-24",327
新潟県,"2021-01-18","2021-01-24",24
富山県,"2021-01-18","2021-01-24",8
石川県,"2021-01-18","2021-01-24",13
福井県,"2021-01-18","2021-01-24",0
山梨県,"2021-01-18","2021-01-24",14
長野県,"2021-01-18","2021-01-24",0
岐阜県,"2021-01-18","2021-01-24",1
静岡県,"2021-01-18","2021-01-24",13
愛知県,"2021-01-18","2021-01-24",39
三重県,"2021-01-18","2021-01-24",0
滋賀県,"2021-01-18","2021-01-24",1
京都府,"2021-01-18","2021-01-24",87
大阪府,"2021-01-18","2021-01-24",275
兵庫県,"2021-01-18","2021-01-24",45
奈良県,"2021-01-18","2021-01-24",9
和歌山県,"2021-01-18","2021-01-24",1
鳥取県,"2021-01-18","2021-01-24",0
島根県,"2021-01-18","2021-01-24",1
岡山県,"2021-01-18","2021-01-24",12
広島県,"2021-01-18","2021-01-24",40
山口県,"2021-01-18","2021-01-24",4
徳島県,"2021-01-18","2021-01-24",14
香川県,"2021-01-18","2021-01-24",14
愛媛県,"2021-01-18","2021-01-24",1
高知県,"2021-01-18","2021-01-24",9
福岡県,"2021-01-18","2021-01-24",24
佐賀県,"2021-01-18","2021-01-24",6
長崎県,"2021-01-18","2021-01-24",6
熊本県,"2021-01-18","2021-01-24",7
大分県,"2021-01-18","2021-01-24",26
宮崎県,"2021-01-18","2021-01-24",13
鹿児島県,"2021-01-18","2021-01-24",0
沖縄県,"2021-01-18","2021-01-24",0
北海道,"2021-01-25","2021-01-31",85
青森県,"2021-01-25","2021-01-31",3
岩手県,"2021-01-25","2021-01-31",3
宮城県,"2021-01-25","2021-01-31",29
秋田県,"2021-01-25","2021-01-31",0
山形県,"2021-01-25","2021-01-31",8
福島県,"2021-01-25","2021-01-31",2
茨城県,"2021-01-25","2021-01-31",19
栃木県,"2021-01-25","2021-01-31",14
群馬県,"2021-01-25","2021-01-31",2
埼玉県,"2021-01-25","2021-01-31",102
千葉県,"2021-01-25","2021-01-31",76
東京都,"2021-01-25","2021-01-31",1330
神奈川県,"2021-01-25","2021-01-31",294
新潟県,"2021-01-25","2021-01-31",16
富山県,"2021-01-25","2021-01-31",1
石川県,"2021-01-25","2021-01-31",5
福井県,"2021-01-25","2021-01-31",0
山梨県,"2021-01-25","2021-01-31",10
長野県,"2021-01-25","2021-01-31",0
岐阜県,"2021-01-25","2021-01-31",0
静岡県,"2021-01-25","2021-01-31",6
愛知県,"2021-01-25","2021-01-31",31
三重県,"2021-01-25","2021-01-31",1
滋賀県,"2021-01-25","2021-01-31",0
京都府,"2021-01-25","2021-01-31",60
大阪府,"2021-01-25","2021-01-31",224
兵庫県,"2021-01-25","2021-01-31",41
奈良県,"2021-01-25","2021-01-31",12
和歌山県,"2021-01-25","2021-01-31",4
鳥取県,"2021-01-25","2021-01-31",0
島根県,"2021-01-25","2021-01-31",0
岡山県,"2021-01-25","2021-01-31",8
広島県,"2021-01-25","2021-01-31",24
山口県,"2021-01-25","2021-01-31",1
徳島県,"2021-01-25","2021-01-31",8
香川県,"2021-01-25","2021-01-31",10
愛媛県,"2021-01-25","2021-01-31",1
高知県,"2021-01-25","2021-01-31",1
福岡県,"2021-01-25","2021-01-31",29
佐賀県,"2021-01-25","2021-01-31",3
長崎県,"2021-01-25","2021-01-31",2
熊本県,"2021-01-25","2021-01-31",14
大分県,"2021-01-25","2021-01-31",13
宮崎県,"2021-01-25","2021-01-31",8
鹿児島県,"2021-01-25","2021-01-31",2
沖縄県,"2021-01-25","2021-01-31",0
北海道,"2021-02-01","2021-02-07",98
青森県,"2021-02-01","2021-02-07",1
岩手県,"2021-02-01","2021-02-07",5
宮城県,"2021-02-01","2021-02-07",41
秋田県,"2021-02-01","2021-02-07",0
山形県,"2021-02-01","2021-02-07",6
福島県,"2021-02-01","2021-02-07",6
茨城県,"2021-02-01","2021-02-07",17
栃木県,"2021-02-01","2021-02-07",11
群馬県,"2021-02-01","2021-02-07",1
埼玉県,"2021-02-01","2021-02-07",76
千葉県,"2021-02-01","2021-02-07",74
東京都,"2021-02-01","2021-02-07",1280
神奈川県,"2021-02-01","2021-02-07",251
新潟県,"2021-02-01","2021-02-07",14
富山県,"2021-02-01","2021-02-07",1
石川県,"2021-02-01","2021-02-07",5
福井県,"2021-02-01","2021-02-07",0
山梨県,"2021-02-01","2021-02-07",4
長野県,"2021-02-01","2021-02-07",1
岐阜県,"2021-02-01","2021-02-07",1
静岡県,"2021-02-01","2021-02-07",6
愛知県,"2021-02-01","2021-02-07",22
三重県,"2021-02-01","2021-02-07",0
滋賀県,"2021-02-01","2021-02-07",0
京都府,"2021-02-01","2021-02-07",35
大阪府,"2021-02-01","2021-02-07",227
兵庫県,"2021-02-01","2021-02-07",32
奈良県,"2021-02-01","2021-02-07",5
和歌山県,"2021-02-01","2021-02-07",4
鳥取県,"2021-02-01","2021-02-07",0
島根県,"2021-02-01","2021-02-07",0
岡山県,"2021-02-01","2021-02-07",0
広島県,"2021-02-01","2021-02-07",23
山口県,"2021-02-01","2021-02-07",2
徳島県,"2021-02-01","2021-02-07",4
香川県,"2021-02-01","2021-02-07",9
愛媛県,"2021-02-01","2021-02-07",1
高知県,"2021-02-01","2021-02-07",1
福岡県,"2021-02-01","2021-02-07",27
佐賀県,"2021-02-01","2021-02-07",2
長崎県,"2021-02-01","2021-02-07",1
熊本県,"2021-02-01","2021-02-07",12
大分県,"2021-02-01","2021-02-07",6
宮崎県,"2021-02-01","2021-02-07",3
鹿児島県,"2021-02-01","2021-02-07",1
沖縄県,"2021-02-01","2021-02-07",0
北海道,"2021-02-08","2021-02-14",97
青森県,"2021-02-08","2021-02-14",4
岩手県,"2021-02-08","2021-02-14",6
宮城県,"2021-02-08","2021-02-14",28
秋田県,"2021-02-08","2021-02-14",0
山形県,"2021-02-08","2021-02-14",8
福島県,"2021-02-08","2021-02-14",4
茨城県,"2021-02-08","2021-02-14",17
栃木県,"2021-02-08","2021-02-14",14
群馬県,"2021-02-08","2021-02-14",0
埼玉県,"2021-02-08","2021-02-14",59
千葉県,"2021-02-08","2021-02-14",94
東京都,"2021-02-08","2021-02-14",1214
神奈川県,"2021-02-08","2021-02-14",179
新潟県,"2021-02-08","2021-02-14",10
富山県,"2021-02-08","2021-02-14",1
石川県,"2021-02-08","2021-02-14",3
福井県,"2021-02-08","2021-02-14",0
山梨県,"2021-02-08","2021-02-14",12
長野県,"2021-02-08","2021-02-14",0
岐阜県,"2021-02-08","2021-02-14",0
静岡県,"2021-02-08","2021-02-14",4
愛知県,"2021-02-08","2021-02-14",20
三重県,"2021-02-08","2021-02-14",0
滋賀県,"2021-02-08","2021-02-14",0
京都府,"2021-02-08","2021-02-14",27
大阪府,"2021-02-08","2021-02-14",221
兵庫県,"2021-02-08","2021-02-14",28
奈良県,"2021-02-08","2021-02-14",8
和歌山県,"2021-02-08","2021-02-14",3
鳥取県,"2021-02-08","2021-02-14",0
島根県,"2021-02-08","2021-02-14",0
岡山県,"2021-02-08","2021-02-14",2
広島県,"2021-02-08","2021-02-14",33
山口県,"2021-02-08","2021-02-14",5
徳島県,"2021-02-08","2021-02-14",6
香川県,"2021-02-08","2021-02-14",10
愛媛県,"2021-02-08","2021-02-14",2
高知県,"2021-02-08","2021-02-14",9
福岡県,"2021-02-08","2021-02-14",21
佐賀県,"2021-02-08","2021-02-14",4
長崎県,"2021-02-08","2021-02-14",10
熊本県,"2021-02-08","2021-02-14",17
大分県,"2021-02-08","2021-02-14",2
宮崎県,"2021-02-08","2021-02-14",12
鹿児島県,"2021-02-08","2021-02-14",2
沖縄県,"2021-02-08","2021-02-14",0
北海道,"2021-02-15","2021-02-21",102
青森県,"2021-02-15","2021-02-21",2
岩手県,"2021-02-15","2021-02-21",3
宮城県,"2021-02-15","2021-02-21",32
秋田県,"2021-02-15","2021-02-21",0
山形県,"2021-02-15","2021-02-21",5
福島県,"2021-02-15","2021-02-21",6
茨城県,"2021-02-15","2021-02-21",10
栃木県,"2021-02-15","2021-02-21",6
群馬県,"2021-02-15","2021-02-21",0
埼玉県,"2021-02-15","2021-02-21",76
千葉県,"2021-02-15","2021-02-21",86
東京都,"2021-02-15","2021-02-21",1141
神奈川県,"2021-02-15","2021-02-21",214
新潟県,"2021-02-15","2021-02-21",23
富山県,"2021-02-15","2021-02-21",3
石川県,"2021-02-15","2021-02-21",2
福井県,"2021-02-15","2021-02-21",0
山梨県,"2021-02-15","2021-02-21",8
長野県,"2021-02-15","2021-02-21",0
岐阜県,"2021-02-15","2021-02-21",1
静岡県,"2021-02-15","2021-02-21",9
愛知県,"2021-02-15","2021-02-21",12
三重県,"2021-02-15","2021-02-21",0
滋賀県,"2021-02-15","2021-02-21",0
京都府,"2021-02-15","2021-02-21",19
大阪府,"2021-02-15","2021-02-21",239
兵庫県,"2021-02-15","2021-02-21",27
奈良県,"2021-02-15","2021-02-21",8
和歌山県,"2021-02-15","2021-02-21",6
鳥取県,"2021-02-15","2021-02-21",1
島根県,"2021-02-15","2021-02-21",0
岡山県,"2021-02-15","2021-02-21",1
広島県,"2021-02-15","2021-02-21",35
山口県,"2021-02-15","2021-02-21",1
徳島県,"2021-02-15","2021-02-21",5
香川県,"2021-02-15","2021-02-21",6
愛媛県,"2021-02-15","2021-02-21",1
高知県,"2021-02-15","2021-02-21",1
福岡県,"2021-02-15","2021-02-21",50
佐賀県,"2021-02-15","2021-02-21",2
長崎県,"2021-02-15","2021-02-21",5
熊本県,"2021-02-15","2021-02-21",11
大分県,"2021-02-15","2021-02-21",10
宮崎県,"2021-02-15","2021-02-21",7
鹿児島県,"2021-02-15","2021-02-21",4
沖縄県,"2021-02-15","2021-02-21",1
北海道,"2021-02-22","2021-02-28",82
青森県,"2021-02-22","2021-02-28",1
岩手県,"2021-02-22","2021-02-28",3
宮城県,"2021-02-22","2021-02-28",36
秋田県,"2021-02-22","2021-02-28",0
山形県,"2021-02-22","2021-02-28",7
福島県,"2021-02-22","2021-02-28",7
茨城県,"2021-02-22","2021-02-28",11
栃木県,"2021-02-22","2021-02-28",11
群馬県,"2021-02-22","2021-02-28",1
埼玉県,"2021-02-22","2021-02-28",72
千葉県,"2021-02-22","2021-02-28",100
東京都,"2021-02-22","2021-02-28",885
神奈川県,"2021-02-22","2021-02-28",152
新潟県,"2021-02-22","2021-02-28",12
富山県,"2021-02-22","2021-02-28",1
石川県,"2021-02-22","2021-02-28",2
福井県,"2021-02-22","2021-02-28",0
山梨県,"2021-02-22","2021-02-28",7
長野県,"2021-02-22","2021-02-28",0
岐阜県,"2021-02-22","2021-02-28",0
静岡県,"2021-02-22","2021-02-28",6
愛知県,"2021-02-22","2021-02-28",18
三重県,"2021-02-22","2021-02-28",2
滋賀県,"2021-02-22","2021-02-28",0
京都府,"2021-02-22","2021-02-28",25
大阪府,"2021-02-22","2021-02-28",199
兵庫県,"2021-02-22","2021-02-28",48
奈良県,"2021-02-22","2021-02-28",9
和歌山県,"2021-02-22","2021-02-28",7
鳥取県,"2021-02-22","2021-02-28",0
島根県,"2021-02-22","2021-02-28",0
岡山県,"2021-02-22","2021-02-28",8
広島県,"2021-02-22","2021-02-28",31
山口県,"2021-02-22","2021-02-28",2
徳島県,"2021-02-22","2021-02-28",2
香川県,"2021-02-22","2021-02-28",7
愛媛県,"2021-02-22","2021-02-28",1
高知県,"2021-02-22","2021-02-28",3
福岡県,"2021-02-22","2021-02-28",25
佐賀県,"2021-02-22","2021-02-28",4
長崎県,"2021-02-22","2021-02-28",1
熊本県,"2021-02-22","2021-02-28",4
大分県,"2021-02-22","2021-02-28",9
宮崎県,"2021-02-22","2021-02-28",8
鹿児島県,"2021-02-22","2021-02-28",3
沖縄県,"2021-02-22","2021-02-28",0
北海道,"2021-03-01","2021-03-07",87
青森県,"2021-03-01","2021-03-07",0
岩手県,"2021-03-01","2021-03-07",6
宮城県,"2021-03-01","2021-03-07",20
秋田県,"2021-03-01","2021-03-07",0
山形県,"2021-03-01","2021-03-07",7
福島県,"2021-03-01","2021-03-07",3
茨城県,"2021-03-01","2021-03-07",16
栃木県,"2021-03-01","2021-03-07",4
群馬県,"2021-03-01","2021-03-07",0
埼玉県,"2021-03-01","2021-03-07",87
千葉県,"2021-03-01","2021-03-07",61
東京都,"2021-03-01","2021-03-07",892
神奈川県,"2021-03-01","2021-03-07",144
新潟県,"2021-03-01","2021-03-07",13
富山県,"2021-03-01","2021-03-07",1
石川県,"2021-03-01","2021-03-07",1
福井県,"2021-03-01","2021-03-07",0
山梨県,"2021-03-01","2021-03-07",9
長野県,"2021-03-01","2021-03-07",0
岐阜県,"2021-03-01","2021-03-07",2
静岡県,"2021-03-01","2021-03-07",5
愛知県,"2021-03-01","2021-03-07",8
三重県,"2021-03-01","2021-03-07",1
滋賀県,"2021-03-01","2021-03-07",0
京都府,"2021-03-01","2021-03-07",20
大阪府,"2021-03-01","2021-03-07",208
兵庫県,"2021-03-01","2021-03-07",20
奈良県,"2021-03-01","2021-03-07",3
和歌山県,"2021-03-01","2021-03-07",5
鳥取県,"2021-03-01","2021-03-07",0
島根県,"2021-03-01","2021-03-07",0
岡山県,"2021-03-01","2021-03-07",2
広島県,"2021-03-01","2021-03-07",22
山口県,"2021-03-01","2021-03-07",2
徳島県,"2021-03-01","2021-03-07",6
香川県,"2021-03-01","2021-03-07",6
愛媛県,"2021-03-01","2021-03-07",1
高知県,"2021-03-01","2021-03-07",2
福岡県,"2021-03-01","2021-03-07",14
佐賀県,"2021-03-01","2021-03-07",2
長崎県,"2021-03-01","2021-03-07",9
熊本県,"2021-03-01","2021-03-07",8
大分県,"2021-03-01","2021-03-07",10
宮崎県,"2021-03-01","2021-03-07",12
鹿児島県,"2021-03-01","2021-03-07",2
沖縄県,"2021-03-01","2021-03-07",0
北海道,"2021-03-08","2021-03-14",73
青森県,"2021-03-08","2021-03-14",2
岩手県,"2021-03-08","2021-03-14",0
宮城県,"2021-03-08","2021-03-14",44
秋田県,"2021-03-08","2021-03-14",0
山形県,"2021-03-08","2021-03-14",2
福島県,"2021-03-08","2021-03-14",6
茨城県,"2021-03-08","2021-03-14",5
栃木県,"2021-03-08","2021-03-14",3
群馬県,"2021-03-08","2021-03-14",1
埼玉県,"2021-03-08","2021-03-14",83
千葉県,"2021-03-08","2021-03-14",116
東京都,"2021-03-08","2021-03-14",848
神奈川県,"2021-03-08","2021-03-14",168
新潟県,"2021-03-08","2021-03-14",14
富山県,"2021-03-08","2021-03-14",0
石川県,"2021-03-08","2021-03-14",6
福井県,"2021-03-08","2021-03-14",0
山梨県,"2021-03-08","2021-03-14",4
長野県,"2021-03-08","2021-03-14",0
岐阜県,"2021-03-08","2021-03-14",0
静岡県,"2021-03-08","2021-03-14",4
愛知県,"2021-03-08","2021-03-14",15
三重県,"2021-03-08","2021-03-14",0
滋賀県,"2021-03-08","2021-03-14",0
京都府,"2021-03-08","2021-03-14",16
大阪府,"2021-03-08","2021-03-14",194
兵庫県,"2021-03-08","2021-03-14",20
奈良県,"2021-03-08","2021-03-14",2
和歌山県,"2021-03-08","2021-03-14",1
鳥取県,"2021-03-08","2021-03-14",0
島根県,"2021-03-08","2021-03-14",0
岡山県,"2021-03-08","2021-03-14",2
広島県,"2021-03-08","2021-03-14",31
山口県,"2021-03-08","2021-03-14",2
徳島県,"2021-03-08","2021-03-14",3
香川県,"2021-03-08","2021-03-14",3
愛媛県,"2021-03-08","2021-03-14",3
高知県,"2021-03-08","2021-03-14",4
福岡県,"2021-03-08","2021-03-14",23
佐賀県,"2021-03-08","2021-03-14",4
長崎県,"2021-03-08","2021-03-14",4
熊本県,"2021-03-08","2021-03-14",12
大分県,"2021-03-08","2021-03-14",11
宮崎県,"2021-03-08","2021-03-14",4
鹿児島県,"2021-03-08","2021-03-14",1
沖縄県,"2021-03-08","2021-03-14",0
北海道,"2021-03-15","2021-03-21",97
青森県,"2021-03-15","2021-03-21",0
岩手県,"2021-03-15","2021-03-21",5
宮城県,"2021-03-15","2021-03-21",36
秋田県,"2021-03-15","2021-03-21",0
山形県,"2021-03-15","2021-03-21",6
福島県,"2021-03-15","2021-03-21",1
茨城県,"2021-03-15","2021-03-21",11
栃木県,"2021-03-15","2021-03-21",6
群馬県,"2021-03-15","2021-03-21",1
埼玉県,"2021-03-15","2021-03-21",73
千葉県,"2021-03-15","2021-03-21",70
東京都,"2021-03-15","2021-03-21",873
神奈川県,"2021-03-15","2021-03-21",154
新潟県,"2021-03-15","2021-03-21",14
富山県,"2021-03-15","2021-03-21",1
石川県,"2021-03-15","2021-03-21",2
福井県,"2021-03-15","2021-03-21",0
山梨県,"2021-03-15","2021-03-21",6
長野県,"2021-03-15","2021-03-21",0
岐阜県,"2021-03-15","2021-03-21",1
静岡県,"2021-03-15","2021-03-21",11
愛知県,"2021-03-15","2021-03-21",13
三重県,"2021-03-15","2021-03-21",1
滋賀県,"2021-03-15","2021-03-21",0
京都府,"2021-03-15","2021-03-21",27
大阪府,"2021-03-15","2021-03-21",179
兵庫県,"2021-03-15","2021-03-21",25
奈良県,"2021-03-15","2021-03-21",1
和歌山県,"2021-03-15","2021-03-21",2
鳥取県,"2021-03-15","2021-03-21",0
島根県,"2021-03-15","2021-03-21",0
岡山県,"2021-03-15","2021-03-21",1
広島県,"2021-03-15","2021-03-21",34
山口県,"2021-03-15","2021-03-21",1
徳島県,"2021-03-15","2021-03-21",9
香川県,"2021-03-15","2021-03-21",6
愛媛県,"2021-03-15","2021-03-21",1
高知県,"2021-03-15","2021-03-21",1
福岡県,"2021-03-15","2021-03-21",10
佐賀県,"2021-03-15","2021-03-21",0
長崎県,"2021-03-15","2021-03-21",5
熊本県,"2021-03-15","2021-03-21",7
大分県,"2021-03-15","2021-03-21",7
宮崎県,"2021-03-15","2021-03-21",8
鹿児島県,"2021-03-15","2021-03-21",2
沖縄県,"2021-03-15","2021-03-21",0
北海道,"2021-03-22","2021-03-28",58
青森県,"2021-03-22","2021-03-28",0
岩手県,"2021-03-22","2021-03-28",6
宮城県,"2021-03-22","2021-03-28",40
秋田県,"2021-03-22","2021-03-28",0
山形県,"2021-03-22","2021-03-28",4
福島県,"2021-03-22","2021-03-28",5
茨城県,"2021-03-22","2021-03-28",3
栃木県,"2021-03-22","2021-03-28",6
群馬県,"2021-03-22","2021-03-28",1
埼玉県,"2021-03-22","2021-03-28",60
千葉県,"2021-03-22","2021-03-28",84
東京都,"2021-03-22","2021-03-28",881
神奈川県,"2021-03-22","2021-03-28",145
新潟県,"2021-03-22","2021-03-28",24
富山県,"2021-03-22","2021-03-28",1
石川県,"2021-03-22","2021-03-28",1
福井県,"2021-03-22","2021-03-28",0
山梨県,"2021-03-22","2021-03-28",3
長野県,"2021-03-22","2021-03-28",0
岐阜県,"2021-03-22","2021-03-28",0
静岡県,"2021-03-22","2021-03-28",11
愛知県,"2021-03-22","2021-03-28",20
三重県,"2021-03-22","2021-03-28",0
滋賀県,"2021-03-22","2021-03-28",1
京都府,"2021-03-22","2021-03-28",16
大阪府,"2021-03-22","2021-03-28",180
兵庫県,"2021-03-22","2021-03-28",25
奈良県,"2021-03-22","2021-03-28",6
和歌山県,"2021-03-22","2021-03-28",5
鳥取県,"2021-03-22","2021-03-28",0
島根県,"2021-03-22","2021-03-28",0
岡山県,"2021-03-22","2021-03-28",1
広島県,"2021-03-22","2021-03-28",21
山口県,"2021-03-22","2021-03-28",4
徳島県,"2021-03-22","2021-03-28",4
香川県,"2021-03-22","2021-03-28",8
愛媛県,"2021-03-22","2021-03-28",1
高知県,"2021-03-22","2021-03-28",3
福岡県,"2021-03-22","2021-03-28",16
佐賀県,"2021-03-22","2021-03-28",2
長崎県,"2021-03-22","2021-03-28",7
熊本県,"2021-03-22","2021-03-28",14
大分県,"2021-03-22","2021-03-28",4
宮崎県,"2021-03-22","2021-03-28",4
鹿児島県,"2021-03-22","2021-03-28",1
沖縄県,"2021-03-22","2021-03-28",0
北海道,"2021-03-29","2021-04-04",64
青森県,"2021-03-29","2021-04-04",0
岩手県,"2021-03-29","2021-04-04",4
宮城県,"2021-03-29","2021-04-04",48
秋田県,"2021-03-29","2021-04-04",0
山形県,"2021-03-29","2021-04-04",4
福島県,"2021-03-29","2021-04-04",1
茨城県,"2021-03-29","2021-04-04",11
栃木県,"2021-03-29","2021-04-04",7
群馬県,"2021-03-29","2021-04-04",0
埼玉県,"2021-03-29","2021-04-04",46
千葉県,"2021-03-29","2021-04-04",82
東京都,"2021-03-29","2021-04-04",830
神奈川県,"2021-03-29","2021-04-04",93
新潟県,"2021-03-29","2021-04-04",13
富山県,"2021-03-29","2021-04-04",1
石川県,"2021-03-29","2021-04-04",3
福井県,"2021-03-29","2021-04-04",0
山梨県,"2021-03-29","2021-04-04",7
長野県,"2021-03-29","2021-04-04",0
岐阜県,"2021-03-29","2021-04-04",0
静岡県,"2021-03-29","2021-04-04",8
愛知県,"2021-03-29","2021-04-04",12
三重県,"2021-03-29","2021-04-04",0
滋賀県,"2021-03-29","2021-04-04",1
京都府,"2021-03-29","2021-04-04",20
大阪府,"2021-03-29","2021-04-04",191
兵庫県,"2021-03-29","2021-04-04",34
奈良県,"2021-03-29","2021-04-04",6
和歌山県,"2021-03-29","2021-04-04",0
鳥取県,"2021-03-29","2021-04-04",0
島根県,"2021-03-29","2021-04-04",0
岡山県,"2021-03-29","2021-04-04",8
広島県,"2021-03-29","2021-04-04",18
山口県,"2021-03-29","2021-04-04",0
徳島県,"2021-03-29","2021-04-04",7
香川県,"2021-03-29","2021-04-04",8
愛媛県,"2021-03-29","2021-04-04",2
高知県,"2021-03-29","2021-04-04",2
福岡県,"2021-03-29","2021-04-04",19
佐賀県,"2021-03-29","2021-04-04",3
長崎県,"2021-03-29","2021-04-04",2
熊本県,"2021-03-29","2021-04-04",6
大分県,"2021-03-29","2021-04-04",1
宮崎県,"2021-03-29","2021-04-04",8
鹿児島県,"2021-03-29","2021-04-04",0
沖縄県,"2021-03-29","2021-04-04",0
北海道,"2021-04-05","2021-04-11",78
青森県,"2021-04-05","2021-04-11",0
岩手県,"2021-04-05","2021-04-11",2
宮城県,"2021-04-05","2021-04-11",66
秋田県,"2021-04-05","2021-04-11",0
山形県,"2021-04-05","2021-04-11",6
福島県,"2021-04-05","2021-04-11",2
茨城県,"2021-04-05","2021-04-11",6
栃木県,"2021-04-05","2021-04-11",5
群馬県,"2021-04-05","2021-04-11",0
埼玉県,"2021-04-05","2021-04-11",38
千葉県,"2021-04-05","2021-04-11",65
東京都,"2021-04-05","2021-04-11",650
神奈川県,"2021-04-05","2021-04-11",99
新潟県,"2021-04-05","2021-04-11",11
富山県,"2021-04-05","2021-04-11",3
石川県,"2021-04-05","2021-04-11",3
福井県,"2021-04-05","2021-04-11",0
山梨県,"2021-04-05","2021-04-11",7
長野県,"2021-04-05","2021-04-11",1
岐阜県,"2021-04-05","2021-04-11",0
静岡県,"2021-04-05","2021-04-11",6
愛知県,"2021-04-05","2021-04-11",18
三重県,"2021-04-05","2021-04-11",1
滋賀県,"2021-04-05","2021-04-11",0
京都府,"2021-04-05","2021-04-11",15
大阪府,"2021-04-05","2021-04-11",251
兵庫県,"2021-04-05","2021-04-11",42
奈良県,"2021-04-05","2021-04-11",7
和歌山県,"2021-04-05","2021-04-11",1
鳥取県,"2021-04-05","2021-04-11",0
島根県,"2021-04-05","2021-04-11",0
岡山県,"2021-04-05","2021-04-11",3
広島県,"2021-04-05","2021-04-11",27
山口県,"2021-04-05","2021-04-11",1
徳島県,"2021-04-05","2021-04-11",5
香川県,"2021-04-05","2021-04-11",4
愛媛県,"2021-04-05","2021-04-11",1
高知県,"2021-04-05","2021-04-11",3
福岡県,"2021-04-05","2021-04-11",16
佐賀県,"2021-04-05","2021-04-11",3
長崎県,"2021-04-05","2021-04-11",2
熊本県,"2021-04-05","2021-04-11",4
大分県,"2021-04-05","2021-04-11",5
宮崎県,"2021-04-05","2021-04-11",7
鹿児島県,"2021-04-05","2021-04-11",1
沖縄県,"2021-04-05","2021-04-11",0
北海道,"2021-04-12","2021-04-18",59
青森県,"2021-04-12","2021-04-18",0
岩手県,"2021-04-12","2021-04-18",4
